Date,Time,Duration (HH:MM),Arrival Time (Minutes),Name,Opponent Name,Opponent Contact Name,Opponent Contact Phone Number,Opponent Contact E-mail Address,Location Name,Location Address,Location Details,Location URL,Home or Away,Uniform,Extra Label,Notes
6/11/2026,3:00 PM,2:00,,Mexico vs South Africa,,,,,"Mexico City, Mexico",,,,,,World Cup 2026,Group Stage - Group A | Round: Matchday 1 | Match 1
6/12/2026,3:00 PM,2:00,,Canada vs Bosnia & Herzegovina,,,,,"Toronto, Canada",,,,,,World Cup 2026,Group Stage - Group B | Round: Matchday 2 | Match 7
6/12/2026,6:00 PM,2:00,,USA vs Paraguay,,,,,"Los Angeles (Inglewood), United States",,,,,,World Cup 2026,Group Stage - Group D | Round: Matchday 2 | Match 19
6/13/2026,6:00 PM,2:00,,Brazil vs Morocco,,,,,"New York/New Jersey (East Rutherford), United States",,,,,,World Cup 2026,Group Stage - Group C | Round: Matchday 3 | Match 13
6/14/2026,12:00 PM,2:00,,Germany vs Curaçao,,,,,"Houston, United States",,,,,,World Cup 2026,Group Stage - Group E | Round: Matchday 4 | Match 25
6/15/2026,12:00 PM,2:00,,Spain vs Cape Verde,,,,,"Atlanta, United States",,,,,,World Cup 2026,Group Stage - Group H | Round: Matchday 5 | Match 43
6/16/2026,3:00 PM,2:00,,France vs Senegal,,,,,"New York/New Jersey (East Rutherford), United States",,,,,,World Cup 2026,Group Stage - Group I | Round: Matchday 6 | Match 49
6/16/2026,8:00 PM,2:00,,Argentina vs Algeria,,,,,"Kansas City, United States",,,,,,World Cup 2026,Group Stage - Group J | Round: Matchday 6 | Match 55
6/17/2026,12:00 PM,2:00,,Portugal vs DR Congo,,,,,"Houston, United States",,,,,,World Cup 2026,Group Stage - Group K | Round: Matchday 7 | Match 61
6/17/2026,3:00 PM,2:00,,England vs Croatia,,,,,"Dallas (Arlington), United States",,,,,,World Cup 2026,Group Stage - Group L | Round: Matchday 7 | Match 67
6/18/2026,3:00 PM,2:00,,Canada vs Qatar,,,,,"Vancouver, Canada",,,,,,World Cup 2026,Group Stage - Group B | Round: Matchday 8 | Match 10
6/18/2026,7:00 PM,2:00,,Mexico vs South Korea,,,,,"Guadalajara (Zapopan), Mexico",,,,,,World Cup 2026,Group Stage - Group A | Round: Matchday 8 | Match 4
6/19/2026,12:00 PM,2:00,,USA vs Australia,,,,,"Seattle, United States",,,,,,World Cup 2026,Group Stage - Group D | Round: Matchday 9 | Match 21
6/19/2026,9:00 PM,2:00,,Brazil vs Haiti,,,,,"Philadelphia, United States",,,,,,World Cup 2026,Group Stage - Group C | Round: Matchday 9 | Match 16
6/20/2026,4:00 PM,2:00,,Germany vs Ivory Coast,,,,,"Toronto, Canada",,,,,,World Cup 2026,Group Stage - Group E | Round: Matchday 10 | Match 27
6/21/2026,12:00 PM,2:00,,Spain vs Saudi Arabia,,,,,"Atlanta, United States",,,,,,World Cup 2026,Group Stage - Group H | Round: Matchday 11 | Match 45
6/22/2026,12:00 PM,2:00,,Argentina vs Austria,,,,,"Dallas (Arlington), United States",,,,,,World Cup 2026,Group Stage - Group J | Round: Matchday 12 | Match 57
6/22/2026,5:00 PM,2:00,,France vs Iraq,,,,,"Philadelphia, United States",,,,,,World Cup 2026,Group Stage - Group I | Round: Matchday 12 | Match 51
6/23/2026,12:00 PM,2:00,,Portugal vs Uzbekistan,,,,,"Houston, United States",,,,,,World Cup 2026,Group Stage - Group K | Round: Matchday 13 | Match 63
6/23/2026,4:00 PM,2:00,,England vs Ghana,,,,,"Boston (Foxborough), United States",,,,,,World Cup 2026,Group Stage - Group L | Round: Matchday 13 | Match 69
6/24/2026,12:00 PM,2:00,,Switzerland vs Canada,,,,,"Vancouver, Canada",,,,,,World Cup 2026,Group Stage - Group B | Round: Matchday 14 | Match 11
6/24/2026,6:00 PM,2:00,,Scotland vs Brazil,,,,,"Miami (Miami Gardens), United States",,,,,,World Cup 2026,Group Stage - Group C | Round: Matchday 14 | Match 17
6/24/2026,7:00 PM,2:00,,Czech Republic vs Mexico,,,,,"Mexico City, Mexico",,,,,,World Cup 2026,Group Stage - Group A | Round: Matchday 14 | Match 5
6/25/2026,4:00 PM,2:00,,Ecuador vs Germany,,,,,"New York/New Jersey (East Rutherford), United States",,,,,,World Cup 2026,Group Stage - Group E | Round: Matchday 15 | Match 30
6/25/2026,7:00 PM,2:00,,Turkey vs USA,,,,,"Los Angeles (Inglewood), United States",,,,,,World Cup 2026,Group Stage - Group D | Round: Matchday 15 | Match 23
6/26/2026,3:00 PM,2:00,,Norway vs France,,,,,"Boston (Foxborough), United States",,,,,,World Cup 2026,Group Stage - Group I | Round: Matchday 16 | Match 53
6/26/2026,6:00 PM,2:00,,Uruguay vs Spain,,,,,"Guadalajara (Zapopan), Mexico",,,,,,World Cup 2026,Group Stage - Group H | Round: Matchday 16 | Match 48
6/27/2026,5:00 PM,2:00,,Panama vs England,,,,,"New York/New Jersey (East Rutherford), United States",,,,,,World Cup 2026,Group Stage - Group L | Round: Matchday 17 | Match 71
6/27/2026,7:30 PM,2:00,,Colombia vs Portugal,,,,,"Miami (Miami Gardens), United States",,,,,,World Cup 2026,Group Stage - Group K | Round: Matchday 17 | Match 65
6/27/2026,9:00 PM,2:00,,Jordan vs Argentina,,,,,"Dallas (Arlington), United States",,,,,,World Cup 2026,Group Stage - Group J | Round: Matchday 17 | Match 60
